"playerid","Rk.WAR","Rkprob","firstName","lastName","posit","orgName","eWAR.Rk"
209838,8.53892700416484,0.618338020050748,"Adam","Hall","SS","BAL",5.27994321711315
199128,12.9763031975243,0.328642469319132,"Nate","Coronado","IF","COL",4.26456432546814
209970,17.7419031078174,0.216271807898088,"Mason","Martin","RF","PIT",3.83707346068037
210692,28.909567986344,0.119278945267242,"Danny","Drullard","OF","TEX",3.44830277754272
210593,17.2669401555166,0.177517834923669,"Alexander","Campos","SS","SEA",3.06518983216387
208277,9.89119058257814,0.251934488444612,"Andrison","Pena","3B","TEX",2.49193203952998
201807,9.94296384291788,0.220982658765777,"Jose","Garcia","C-OF","CHA",2.19722258601998
210693,16.2159470330271,0.135093335436099,"Ezequiel","Duran","2B","NYA",2.19066637194674
211053,13.5804203262474,0.158315494565688,"Wenceel","Perez","SS","DET",2.14999096035978
203948,9.215230919449,0.227423658957766,"Brandon","Marsh","OF","ANA",2.09576153384183
211039,21.3055445878802,0.0980750311155877,"Geraldo","Perdomo","SS","ARI",2.0895419483909
210777,11.866922438018,0.164902230343432,"Marcos","Gonzalez","SS","CLE",1.95688197734169
210595,10.424399932571,0.182798386110532,"Alexander","Canario","OF","SFN",1.90556348384472
196550,9.29883748048042,0.20400460034631,"Rylan","Bannon","IF","LAN",1.8970056238907
196622,9.71587630199271,0.190327576263295,"Ernie","De La Trinidad","OF","ARI",1.84919918783226
196376,9.35246039410318,0.197552663678262,"Justin","Yurchak","IF","CHA",1.84760346280053
210884,19.728575030152,0.0915772345233633,"Tucupita","Marcano","2B","SDN",1.806688342348
197643,9.40442709156723,0.191910120706988,"Gabriel","Garcia","C","MIL",1.80480473832274
209830,9.85259485372814,0.183156686768022,"Ryan","Vilade","3B","COL",1.80456862947652
210379,15.1675303941203,0.118358709637647,"Tirso","Ornelas","OF","SDN",1.79520932583786
180644,12.4501515198429,0.140543678597504,"Dominic","Miroglio","C","ARI",1.74979009369502
197621,10.2126354246552,0.161565646539559,"Matt","Morales","SS","KCA",1.65001104525722
211084,11.7499124386086,0.140137435550163,"Henry","Quintero","OF","ATL",1.64660259708557
210605,16.7742260048068,0.0979177144274632,"Deury","Carrasco","SS","HOU",1.6424938716804
210620,15.808562942463,0.10351097113699,"Esney","Chacon","OF","DET",1.63635970245458
209294,23.8286156234985,0.0666305655289771,"Freudis","Nova","SS","HOU",1.58771413476632
210418,17.0880391359372,0.0908270234275161,"Yenci","Pena","SS","ATL",1.55205573093008
198704,16.3793862405094,0.0941015359930203,"Fidel","Mejia","SS","CHN",1.54132540385488
181031,9.76861691985511,0.15742062888241,"Torii","Hunter","CF","ANA",1.53778181883495
210681,9.53533005258343,0.160795564301113,"Eddy","Diaz","SS","COL",1.53323877660251
196671,8.60446958907644,0.177558675290111,"Ryan","Noda","OF","TOR",1.52779822181046
174171,7.57340267975783,0.201538752413023,"Max","Hogan","IF","BAL",1.52633412759984
210962,14.8698033846659,0.10204849316358,"Gabriel","Moreno","C","TOR",1.51744102904387
198453,24.6224701298789,0.0614815132544612,"Yovanny","Cuevas","OF","CHN",1.51382672364772
209298,9.89071581754433,0.151915000921502,"Jeisson","Rosario","OF","SDN",1.50254810253656
209091,15.5247496985326,0.0966372856245068,"Sherten","Apostel","3B","PIT",1.50026967086607
