"playerid","lowA.WAR","lowAprob","posit","eWAR.lowA","PlayerName","Level"
208503,11.7814027994931,0.529682286655746,"2B",6.24040037484792,"Everlouis Lozada","lowA"
198365,15.9092176936949,0.153331765635359,"2B",2.43938843885153,"Vidal Brujan","lowA"
196518,6.65704562455064,0.359486482068353,"C",2.39311791253823,"Daulton Varsho","lowA"
203946,7.54407564059531,0.278200745414302,"3B",2.09876746667549,"Nolan Jones","lowA"
210286,5.33021184542984,0.380618240179186,"SS",2.02877585238976,"Justin Lopez","lowA"
193691,6.37277626834776,0.311109598523033,"C",1.98263186632278,"Trevor Craport","lowA"
209895,7.92036898633842,0.230721831316569,"OF",1.82740203723096,"Bligh Madris","lowA"
194395,5.73324095170004,0.306712799068701,"3B",1.75845838003122,"Tyler Ratliff","lowA"
209840,10.3217462225585,0.152695322619854,"OF",1.57608236945383,"Cole Brannen","lowA"
198757,21.8210590941242,0.0671633322406627,"OF",1.4655750417818,"Norberto Obeso","lowA"
188223,8.17945706770827,0.173877641519263,"1B",1.42222470384118,"Pavin Smith","lowA"
194332,10.8475411851913,0.118240444343485,"OF",1.28261808977128,"Greg Deichman","lowA"
198653,5.99993132431748,0.209458560701203,"C",1.2567369794976,"Jose Lizarraga","lowA"
194072,6.88070496693878,0.175898660105714,"SS",1.21030678426726,"Matt McLaughlin","lowA"
187997,6.27299310828255,0.19070280049485,"SS",1.19627735323438,"Tristan Gray","lowA"
194281,5.225008914026,0.224387281695076,"IF-OF",1.17242554705084,"Robbie Podorsky","lowA"
197491,7.2153370920106,0.151045927613652,"SS",1.08984728410793,"Nick Maton","lowA"
195159,5.58519755635828,0.187920594130191,"C",1.04957364312534,"Matt Whatley","lowA"
187908,6.8629663977695,0.15215045207589,"OF",1.04420344000227,"Carl Chester","lowA"
195663,6.19351415601813,0.167934654718078,"SS",1.04010566128243,"Kevin Merrell","lowA"
208795,10.9242754405283,0.0912525929629009,"SS",0.996868460189147,"Kelvin Melean","lowA"
186997,9.5936542038491,0.103265771679482,"C",0.990696104586581,"Gavin Stupienski","lowA"
198963,7.08337041143773,0.133645551752608,"SS",0.946660946904694,"Christopher Torres","lowA"
203491,7.73435844179621,0.122241208225513,"1B-OF",0.945457320774364,"Jhailyn Ortiz","lowA"
208828,21.3618121271207,0.0441360880461847,"SS",0.942826820868657,"Luis Almanzar","lowA"
208828,21.3618121271207,0.0441360880461847,"SS",0.942826820868657,"Luis Almanzar","lowA"
182814,8.37627605542913,0.112541321288479,"C",0.942677174755043,"Ben Breazeale","lowA"
193063,7.8398183514717,0.119459656267051,"OF",0.936542005462929,"Scott Hurst","lowA"
188088,8.31089546596961,0.111276102069985,"OF",0.92480405216421,"Brock Lundquist","lowA"
187394,6.59182737180267,0.140098150256581,"IF-OF",0.923502821600252,"Mitch Reeves","lowA"
187834,5.04281026426395,0.179422377158588,"C",0.904793005173965,"Riley Adams","lowA"
195778,5.48876666553805,0.152850919437481,"2B",0.83896303140529,"Zach Kirtley","lowA"
196725,5.27264429020452,0.158475741684319,"OF",0.835586214527754,"Logan Baldwin","lowA"
193554,7.70645787371008,0.107494052115631,"IF",0.828398384303505,"Taylor Walls","lowA"
195801,7.81895733189448,0.105133319588494,"OF",0.822032940022859,"Matt Winaker","lowA"
188155,6.52751166782028,0.125688101601989,"C",0.820430549713162,"Mike Papierski","lowA"
200371,7.39809559921386,0.108948593041855,"IF",0.806012106723492,"Mason McCoy","lowA"
184882,8.0069936601477,0.096758507189241,"IF",0.774744753629608,"Camden Duzenack","lowA"
198551,4.51536739976878,0.168833230593821,"SS",0.762344065420984,"Alexis Garcia","lowA"
195946,5.65386225902104,0.133893706813774,"1B",0.757016575674827,"Sean Bouchard","lowA"
203859,6.14345338836938,0.122773051714671,"OF",0.754250520556948,"Nick Hill","lowA"
173899,6.56983551944989,0.11444419676915,"IF",0.751879548928874,"Steven Linkous","lowA"
195944,3.56796403192949,0.210184201761596,"IF",0.749929671965187,"Logan Warmoth","lowA"
183514,5.06555220617904,0.147855212997046,"IF",0.748968300392257,"Johnny Adams","lowA"
197926,17.2769757346166,0.0417234681733097,"2B",0.720855347194318,"Samuel Castro","lowA"
209000,11.936437345488,0.0594047193657185,"SS",0.709080710735195,"Rafael Narea","lowA"
