"playerid","highA.WAR","highAprob","posit","eWAR.highA","PlayerName","Level"
186826,29.9488301680801,0.68198685069832,"OF",20.4247083684278,"Mitch Longo","highA"
203172,14.3349888871826,0.81731358570425,"OF",11.7161811684138,"Vladimir Guerrero","highA"
193245,16.1613588462466,0.650524850446708,"C-OF",10.5133655464701,"David Parrett","highA"
203950,9.3468296441681,0.825925172211986,"SS",7.71978188349563,"Bo Bichette","highA"
189516,9.64955432538683,0.780770245009002,"2B",7.53408489485996,"Luis Arraez","highA"
183016,13.2656925876765,0.380697348716555,"C",5.05021399701729,"Joshua Lopez","highA"
197951,14.5518912287749,0.336707636234585,"C",4.89973289838359,"Andres Sthormes","highA"
210340,8.34371466121677,0.544489648383927,"SS",4.54306626210173,"Shao-Pin Ho","highA"
204374,7.07484991261365,0.626995435722092,"C",4.4358986036276,"Erik Garcia","highA"
180968,5.58890454818051,0.699501650341382,"OF",3.90944795505273,"Thomas Milone","highA"
198544,7.09464222823978,0.545729901334065,"OF",3.87175840321779,"Estevan Florial","highA"
187790,6.14323327073677,0.573350106842032,"2B",3.52222345213246,"Forrest Wall","highA"
181053,5.88378615467247,0.553456138852198,"SS",3.25641756699705,"Garrett Hampson","highA"
188124,6.09653445658877,0.502494188216343,"SS",3.06347313269654,"Joshua Morgan","highA"
198880,6.90144224234562,0.428389325172178,"C",2.9565041849132,"Keibert Ruiz","highA"
194806,6.03235746140872,0.471230234821072,"OF",2.84262922306428,"Daniel Johnson","highA"
181092,5.76131764977324,0.473367291369856,"CF",2.72721933059451,"Corey Ray","highA"
197380,6.52780886685882,0.415590132595433,"OF",2.7128929525355,"Jahmai Jones","highA"
188150,5.82355676903281,0.462600884848876,"3B",2.69398251432224,"Kevin Padlo","highA"
183959,6.37670450732069,0.410902017027328,"OF",2.62020074404532,"Luis Alexander Basabe","highA"
184954,5.80179937285369,0.426914644314976,"C",2.47687311564869,"Chris DeVito","highA"
